IDVille;Ville;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
3011;Argenteuil          ;2018-11-06 09:33:17;3362.41 ;4906.35 ;3401.68 ;3362.41 ;4906.35 ;3401.68 
3011;Argenteuil          ;2018-11-07 23:25:12;3237.69 ;4339.62 ;3205.1  ;3237.69 ;4339.62 ;3205.1  
3011;Argenteuil          ;2018-11-11 20:30:02;3237.69 ;4355.19 ;3210.67 ;3237.69 ;4355.19 ;3210.67 
3011;Argenteuil          ;2018-11-15 19:09:09;3238.1  ;4368.42 ;3216.97 ;3238.1  ;4368.42 ;3216.97 
3011;Argenteuil          ;2018-11-25 20:30:02;3275.86 ;4366.16 ;3248.97 ;3275.86 ;4366.16 ;3248.97 
3011;Argenteuil          ;2018-12-02 20:30:01;3273.97 ;4374.54 ;3254.3  ;3273.97 ;4374.54 ;3254.3  
3011;Argenteuil          ;2018-12-16 20:30:01;3283.78 ;4386.79 ;3269.02 ;3283.78 ;4386.79 ;3269.02 
3011;Argenteuil          ;2018-12-23 20:30:02;3296.43 ;4367.29 ;3274.26 ;3296.43 ;4367.29 ;3274.26 
3011;Argenteuil          ;2018-12-30 20:30:02;3285.71 ;4368.42 ;3265.17 ;3285.71 ;4368.42 ;3265.17 
3011;Argenteuil          ;2019-01-06 20:30:02;3275.86 ;4386.79 ;3252.19 ;3275.86 ;4386.79 ;3252.19 
3011;Argenteuil          ;2019-01-20 20:30:02;3237.5  ;4396.62 ;3232.56 ;3237.5  ;4396.62 ;3232.56 
3011;Argenteuil          ;2019-01-27 20:30:02;3233.77 ;4500.0  ;3241.89 ;3233.77 ;4500.0  ;3241.89 
3002;Besançon            ;2018-10-31 14:39:05;2029.41 ;3444.73 ;2131.97 ;2751.43 ;4690.35 ;2864.8  
3002;Besançon            ;2018-11-02 14:18:43;1897.18 ;3219.27 ;1987.92 ;1897.18 ;3219.27 ;1987.92 
3002;Besançon            ;2018-11-03 01:00:02;1897.18 ;3219.27 ;1987.92 ;1897.18 ;3219.27 ;1987.92 
3002;Besançon            ;2018-11-04 22:39:35;1896.55 ;3207.06 ;1988.02 ;1896.55 ;3207.06 ;1988.02 
3002;Besançon            ;2018-11-06 09:33:17;1883.53 ;3222.49 ;1966.61 ;1883.53 ;3222.49 ;1966.61 
3002;Besançon            ;2018-11-07 23:25:12;2000.0  ;3200.0  ;2051.97 ;2000.0  ;3200.0  ;2051.97 
3002;Besançon            ;2018-11-11 20:30:02;1953.49 ;3220.59 ;2028.2  ;1953.49 ;3220.59 ;2028.2  
3002;Besançon            ;2018-11-15 19:09:09;1988.37 ;3193.91 ;2047.94 ;1988.37 ;3193.91 ;2047.94 
3002;Besançon            ;2018-11-25 20:30:02;1896.91 ;3223.25 ;1994.59 ;1896.91 ;3223.25 ;1994.59 
3002;Besançon            ;2018-12-02 20:30:01;2000.0  ;3191.25 ;2058.88 ;2000.0  ;3191.25 ;2058.88 
3002;Besançon            ;2018-12-16 20:30:01;1990.48 ;3167.86 ;2045.29 ;1990.48 ;3167.86 ;2045.29 
3002;Besançon            ;2018-12-23 20:30:02;2012.99 ;3167.86 ;2064.58 ;2012.99 ;3167.86 ;2064.58 
3002;Besançon            ;2018-12-30 20:30:02;2000.0  ;3170.68 ;2057.72 ;2000.0  ;3170.68 ;2057.72 
3002;Besançon            ;2019-01-06 20:30:02;2023.89 ;3200.29 ;2086.23 ;2023.89 ;3200.29 ;2086.23 
3002;Besançon            ;2019-01-20 20:30:02;2026.67 ;3202.9  ;2092.24 ;2026.67 ;3202.9  ;2092.24 
3002;Besançon            ;2019-01-27 20:30:02;2026.67 ;3202.9  ;2092.24 ;2026.67 ;3202.9  ;2092.24 
2982;Bordeaux            ;2018-10-31 14:39:05;1927.3  ;3398.41 ;2034.28 ;4551.72 ;6327.38 ;4402.23 
2982;Bordeaux            ;2018-11-03 01:00:02;5287.88 ;7563.13 ;5327.28 ;5287.88 ;7563.13 ;5327.28 
2982;Bordeaux            ;2018-11-04 22:39:35;5300.0  ;7565.22 ;5357.51 ;5300.0  ;7565.22 ;5357.51 
2982;Bordeaux            ;2018-11-06 09:33:17;5222.22 ;7670.65 ;5338.37 ;5222.22 ;7670.65 ;5338.37 
2982;Bordeaux            ;2018-11-07 23:25:12;5222.22 ;7668.54 ;5337.44 ;5222.22 ;7668.54 ;5337.44 
2982;Bordeaux            ;2018-11-11 20:30:02;5222.22 ;7668.54 ;5345.56 ;5222.22 ;7668.54 ;5345.56 
2982;Bordeaux            ;2018-11-15 19:09:09;5203.76 ;7659.57 ;5354.37 ;5203.76 ;7659.57 ;5354.37 
2982;Bordeaux            ;2018-11-25 20:30:02;5181.82 ;7617.55 ;5322.13 ;5181.82 ;7617.55 ;5322.13 
2982;Bordeaux            ;2018-12-02 20:30:01;5185.19 ;7615.38 ;5315.02 ;5185.19 ;7615.38 ;5315.02 
2982;Bordeaux            ;2018-12-16 20:30:01;5173.08 ;7588.43 ;5306.48 ;5173.08 ;7588.43 ;5306.48 
2982;Bordeaux            ;2018-12-23 20:30:02;5155.05 ;7569.96 ;5287.24 ;5155.05 ;7569.96 ;5287.24 
2982;Bordeaux            ;2018-12-30 20:30:02;5123.96 ;7565.22 ;5253.69 ;5123.96 ;7565.22 ;5253.69 
2982;Bordeaux            ;2019-01-06 20:30:02;5190.48 ;7616.54 ;5302.89 ;5190.48 ;7616.54 ;5302.89 
2982;Bordeaux            ;2019-01-20 20:30:02;5186.57 ;7571.43 ;5275.53 ;5186.57 ;7571.43 ;5275.53 
2982;Bordeaux            ;2019-01-27 20:30:02;5186.57 ;7571.43 ;5275.53 ;5186.57 ;7571.43 ;5275.53 
3007;Boulogne-Billancourt;2018-10-31 14:39:05;8936.17 ;11000.0 ;8891.94 ;9633.2  ;10652.78;8856.33 
3007;Boulogne-Billancourt;2018-10-31 18:42:13;3294.86 ;4272.22 ;3294.72 ;9633.2  ;10652.78;8856.33 
3007;Boulogne-Billancourt;2018-11-04 22:39:35;8774.19 ;11046.24;8729.11 ;8774.19 ;11046.24;8729.11 
3007;Boulogne-Billancourt;2018-11-06 09:33:17;8777.78 ;11047.22;8738.51 ;8777.78 ;11047.22;8738.51 
3007;Boulogne-Billancourt;2018-11-07 23:25:12;8833.33 ;11060.51;8842.02 ;8833.33 ;11060.51;8842.02 
3007;Boulogne-Billancourt;2018-11-11 20:30:02;8442.86 ;10896.64;7507.33 ;8442.86 ;10896.64;7507.33 
3007;Boulogne-Billancourt;2018-11-15 19:09:09;8854.17 ;11138.42;8864.02 ;8854.17 ;11138.42;8864.02 
3007;Boulogne-Billancourt;2018-11-25 20:30:02;8888.89 ;11061.44;8897.41 ;8888.89 ;11061.44;8897.41 
3007;Boulogne-Billancourt;2018-12-02 20:30:01;8936.17 ;11047.61;8917.87 ;8936.17 ;11047.61;8917.87 
3007;Boulogne-Billancourt;2018-12-16 20:30:01;9000.0  ;11036.83;8950.46 ;9000.0  ;11036.83;8950.46 
3007;Boulogne-Billancourt;2018-12-23 20:30:02;8653.85 ;10823.53;7756.5  ;8653.85 ;10823.53;7756.5  
3007;Boulogne-Billancourt;2018-12-30 20:30:02;8777.78 ;10914.47;8217.57 ;8777.78 ;10914.47;8217.57 
3007;Boulogne-Billancourt;2019-01-06 20:30:02;8774.19 ;11037.74;8248.02 ;8774.19 ;11037.74;8248.02 
3007;Boulogne-Billancourt;2019-01-20 20:30:02;8174.6  ;10784.31;7004.21 ;8174.6  ;10784.31;7004.21 
3007;Boulogne-Billancourt;2019-01-27 20:30:02;8174.6  ;10784.31;7004.21 ;8174.6  ;10784.31;7004.21 
2992;Brest               ;2018-10-31 14:39:05;1445.45 ;2625.96 ;1583.5  ;2751.43 ;4690.35 ;2864.8  
